SalesMonth,Retailer,Product,SalesValueUSD,UnitsSold
"01-may-2020","Naughty but Nice","Creamies 10.57oz",9365.81,1489
"01-may-2020","Naughty but Nice","Gumbles 1.76oz",2465.68,2072
"01-may-2020","Naughty but Nice","Elysian Fudge 7.05oz",5409.18,742
"01-may-2020","Naughty but Nice","Obelisk 35.24oz",14989.73,1087
"01-may-2020","Naughty but Nice","Yumyums 5.71oz",1871.31,469
"01-may-2020","Naughty but Nice","Elysian Fudge 1.76oz",1337.36,584
"01-may-2020","Naughty but Nice","Banonza 2.64oz",1712.58,782
"01-may-2020","Naughty but Nice","Minotaur 33.48oz",25741.89,2061
"01-may-2020","Naughty but Nice","Cheeky Caramels 3.17oz",4902.81,1969
"01-may-2020","Naughty but Nice","Rokkolate 4.23oz",806.13,507
"01-may-2020","Naughty but Nice","Zoots 3.17oz",790.91,569
"01-may-2020","Naughty but Nice","Banananice 1.76oz",3328.20,2580
"01-may-2020","Naughty but Nice","Rokkolate 10.57oz",5671.25,1625
"01-may-2020","Naughty but Nice","Petals 3.07oz",5171.73,2077
"01-may-2020","Naughty but Nice","The Original 4.23oz",2219.64,1396
"01-may-2020","Naughty but Nice","Unicorn 16.92oz",7471.89,1361
"01-may-2020","Naughty but Nice","Zigzags 14.10oz",2405.55,395
"01-may-2020","Naughty but Nice","Sportsman 2.82oz",960.33,807
"01-may-2020","Naughty but Nice","Boho 28.19oz",13710.76,644
"01-may-2020","Naughty but Nice","Banonza 6.59oz",9101.97,1983
"01-may-2020","Naughty but Nice","Flair 7.05oz",6597.45,905
"01-may-2020","Naughty but Nice","Gnaw 10.57oz",1256.15,485
"01-may-2020","Naughty but Nice","Dynasty 16.00oz",13470.48,1272
"01-may-2020","Naughty but Nice","Sweetlings 2.82oz",520.41,209
"01-may-2020","Naughty but Nice","Buzzers 3.00oz",2291.18,2102
"01-may-2020","Naughty but Nice","Zigzags 1.41oz",1418.66,1594
"01-may-2020","Naughty but Nice","Petals 1.23oz",1049.58,882
"01-may-2020","Naughty but Nice","Paramels 13.39oz",25902.63,2197
"01-may-2020","Naughty but Nice","Yumyums 22.91oz",28491.17,2263
"01-may-2020","Naughty but Nice","Whippersnappers 1.76oz",737.76,464
"01-may-2020","Naughty but Nice","Cheeky Caramels 12.69oz",1941.57,243
"01-may-2020","Naughty but Nice","Unicorn 4.23oz",3467.88,2052
"01-may-2020","Naughty but Nice","Caramax 10.57oz",7494.39,2031
"01-may-2020","Naughty but Nice","Sailor Joe 16.92oz",8986.24,1216
"01-may-2020","Naughty but Nice","Meltos 28.19oz",40933.62,2058
"01-may-2020","Naughty but Nice","Cheeky Caramels 31.72oz",17.59,1
"01-may-2020","Naughty but Nice","Paramels 33.48oz",59127.25,2275
"01-may-2020","Naughty but Nice","Hoots 9.87oz",3867.25,775
"01-may-2020","Naughty but Nice","Rumbuns 2.47oz",2844.18,1242
"01-may-2020","Naughty but Nice","Sportsman 7.05oz",5959.59,2301
"01-may-2020","Naughty but Nice","Sweetlings 11.28oz",15204.03,1927
"01-may-2020","Naughty but Nice","Yumyums 9.16oz",10993.08,1932
"01-may-2020","Naughty but Nice","Salt Chocolate 26.43oz",16377.90,2310
"01-may-2020","Naughty but Nice","Pippops 9.16oz",935.32,268
"01-may-2020","Naughty but Nice","Gnaw 16.92oz",4544.21,1199
"01-may-2020","Naughty but Nice","Xero 4.23oz",615.33,477
"01-may-2020","Naughty but Nice","Gnaw 4.23oz",2427.60,2040
"01-may-2020","Naughty but Nice","Sweetlings 7.05oz",5210.01,949
"01-may-2020","Naughty but Nice","Bitterbutter 9.69oz",3867.37,923
"01-may-2020","Naughty but Nice","Hoots 2.47oz",2831.79,1781
"01-may-2020","Naughty but Nice","The Original 10.57oz",649.14,186
"01-may-2020","Naughty but Nice","Fairy Sweets 1.59oz",1345.79,2281
"01-may-2020","Naughty but Nice","Carousel 16.00oz",19030.97,2443
"01-may-2020","Naughty but Nice","Huckles 2.11oz",553.41,559
"01-may-2020","Naughty but Nice","Cheeky Caramels 7.93oz",2574.81,469
"01-may-2020","Naughty but Nice","Schnoogles 14.10oz",20303.69,1441
"01-may-2020","Naughty but Nice","Meltos 7.05oz",13593.24,2476
"01-may-2020","Naughty but Nice","Twisters 4.23oz",459.51,289
"01-may-2020","Naughty but Nice","Obelisk 8.81oz",6290.49,1401
"01-may-2020","Naughty but Nice","Cerealice 3.52oz",3001.40,860
"01-may-2020","Naughty but Nice","Boho 7.05oz",12436.71,1859
"01-may-2020","Naughty but Nice","Zigzags 5.64oz",982.08,352
"01-may-2020","Naughty but Nice","Whippersnappers 4.41oz",3573.06,1054
"01-may-2020","Naughty but Nice","Zoots 7.93oz",7657.39,2561
"01-may-2020","Naughty but Nice","Chocolatey Nougat 8.81oz",2822.59,1181
"01-may-2020","Naughty but Nice","Bitterbutter 15.51oz",1973.16,324
"01-may-2020","Naughty but Nice","Chocolatey Nougat 14.10oz",2997.91,859
"01-may-2020","Naughty but Nice","Schnoogles 8.81oz",2623.72,268
"01-may-2020","Naughty but Nice","Dr Sweets 9.52oz",795.99,471
"01-may-2020","Naughty but Nice","Unicorn 1.69oz",463.73,587
"01-may-2020","Naughty but Nice","Twisters 10.57oz",7320.01,2039
"01-may-2020","Naughty but Nice","Buzzers 7.47oz",1809.23,757
"01-may-2020","Naughty but Nice","Creamies 2.64oz",1118.75,625
"01-may-2020","Naughty but Nice","Bitterbutter 3.88oz",4609.71,2439
"01-may-2020","Naughty but Nice","Bravo 7.05oz",4395.33,2007
"01-may-2020","Naughty but Nice","Cerealice 5.64oz",2150.69,431
"01-may-2020","Naughty but Nice","Sweetsverse 28.19oz",13533.66,934
"01-may-2020","Naughty but Nice","Sailor Joe 42.29oz",2939.27,173
"01-may-2020","Naughty but Nice","Obelisk 22.03oz",5658.62,578
"01-may-2020","Naughty but Nice","Banananice 4.41oz",121.05,45
"01-may-2020","Naughty but Nice","Rumbuns 9.87oz",3251.93,407
"01-may-2020","Naughty but Nice","Caramax 2.64oz",1355.41,1139
"01-may-2020","Naughty but Nice","Flair 17.62oz",32035.19,1991
"01-may-2020","Naughty but Nice","Elysian Fudge 4.41oz",705.84,136
"01-may-2020","Naughty but Nice","Boho 2.82oz",484.38,162
"01-may-2020","Naughty but Nice","Cerealice 14.10oz",26316.99,2331
"01-may-2020","Naughty but Nice","Xero 10.57oz",4468.09,1661
"01-may-2020","Naughty but Nice","Paramels 8.35oz",2338.01,289
"01-may-2020","Naughty but Nice","Hoots 6.17oz",3672.57,1023
"01-may-2020","Naughty but Nice","Chocolatey Nougat 3.52oz",1682.66,1414
"01-may-2020","Naughty but Nice","Yumyums 2.29oz",2813.88,1572
"01-may-2020","Naughty but Nice","Boho 11.28oz",15978.81,1649
"01-may-2020","Naughty but Nice","Googlies 7.75oz",871.73,487
