Retailer,SkuCode,Product,SalesMonth,SalesValue,UnitsSold
"Candy Shack",10056,"Buzzers 11.98oz","2020-04-01",6354.30,1770
"Candy Shack",10057,"Cheeky Caramels 3.17oz","2020-04-01",4397.82,1698
"Candy Shack",10058,"Banonza 2.64oz","2020-04-01",562.83,257
"Candy Shack",10059,"Sportsman 7.05oz","2020-04-01",560.79,201
"Candy Shack",10061,"Meltos 7.05oz","2020-04-01",10404.63,1797
"Candy Shack",10062,"Meltos 28.19oz","2020-04-01",14886.57,723
"Candy Shack",10063,"Zoots 7.93oz","2020-04-01",1566.63,507
"Candy Shack",10064,"Sweetlings 7.05oz","2020-04-01",5970.12,1068
"Candy Shack",10065,"Sweetlings 11.28oz","2020-04-01",11409.72,1428
"Candy Shack",10066,"Googlies 7.75oz","2020-04-01",1417.50,750
"Candy Shack",10068,"Xero 4.23oz","2020-04-01",3245.64,2516
"Candy Shack",10069,"The Original 10.57oz","2020-04-01",7287.12,2088
"Candy Shack",10070,"The Original 4.23oz","2020-04-01",135.15,85
"Candy Shack",10071,"Sailor Joe 10.57oz","2020-04-01",652.19,121
"Candy Shack",10072,"Sailor Joe 4.23oz","2020-04-01",1451.67,583
"Candy Shack",10073,"Sailor Joe 42.29oz","2020-04-01",15526.42,898
"Candy Shack",10074,"Obelisk 35.24oz","2020-04-01",28487.34,1966
"Candy Shack",10075,"Obelisk 22.03oz","2020-04-01",18767.40,1860
"Candy Shack",10076,"Gnaw 10.57oz","2020-04-01",347.01,129
"Candy Shack",10077,"Gnaw 4.23oz","2020-04-01",2149.14,1666
"Candy Shack",10078,"Rokkolate 4.23oz","2020-04-01",76.05,45
"Candy Shack",10079,"Rokkolate 10.57oz","2020-04-01",2229.39,621
"Candy Shack",10080,"Gumbles 4.41oz","2020-04-01",5776.80,2320
"Candy Shack",10081,"Whippersnappers 4.41oz","2020-04-01",5629.12,1568
"Candy Shack",10082,"Schnoogles 3.52oz","2020-04-01",4947.98,1102
"Candy Shack",10083,"Sweetsverse 7.05oz","2020-04-01",3715.14,866
"Candy Shack",10084,"Schnoogles 14.10oz","2020-04-01",8853.39,611
"Candy Shack",10085,"Sweetsverse 28.19oz","2020-04-01",3802.68,252
"Candy Shack",10087,"Twisters 4.23oz","2020-04-01",659.10,390
"Candy Shack",10088,"Unicorn 4.23oz","2020-04-01",368.74,206
"Candy Shack",10089,"Zigzags 3.52oz","2020-04-01",2428.58,1162
"Candy Shack",10090,"Zigzags 14.10oz","2020-04-01",16387.25,2525
"Candy Shack",10091,"Caramax 10.57oz","2020-04-01",8883.76,2344
"Candy Shack",10092,"Bravo 7.05oz","2020-04-01",2642.66,1154
"Candy Shack",10093,"Creamies 10.57oz","2020-04-01",613.44,96
"Candy Shack",10094,"Cerealice 14.10oz","2020-04-01",28114.45,2405
"Candy Shack",10095,"Cerealice 3.52oz","2020-04-01",1405.89,381
"Candy Shack",10096,"Daydream 7.05oz","2020-04-01",3720.27,1383
"Candy Shack",10097,"Boho 7.05oz","2020-04-01",8632.65,1235
"Candy Shack",10098,"Boho 11.28oz","2020-04-01",14529.60,1440
"Candy Shack",10099,"Boho 28.19oz","2020-04-01",57559.32,2548
"Candy Shack",10100,"Banananice 4.41oz","2020-04-01",5488.11,1899
"Candy Shack",10101,"Cheeky Caramels 31.72oz","2020-04-01",38514.67,2083
"Candy Shack",10102,"Cheeky Caramels 7.93oz","2020-04-01",12981.18,2242
"Candy Shack",10103,"Elysian Fudge 4.41oz","2020-04-01",878.57,163
"Candy Shack",10104,"Elysian Fudge 7.05oz","2020-04-01",18363.72,2388
"Candy Shack",10105,"Flair 17.62oz","2020-04-01",28395.78,1722
"Candy Shack",10106,"Flair 7.05oz","2020-04-01",4345.32,588
"Candy Shack",10107,"Flair 28.19oz","2020-04-01",26454.48,1112
"Candy Shack",10108,"Chocolatey Nougat 14.10oz","2020-04-01",1030.33,287
"Candy Shack",10110,"Sportsman 2.82oz","2020-04-01",1353.21,1049
"Candy Shack",10111,"Salt Chocolate 26.43oz","2020-04-01",13065.52,1768
"Candy Shack",10112,"Meltos 2.82oz","2020-04-01",199.43,77
"Candy Shack",10113,"Sweetlings 2.82oz","2020-04-01",3276.84,1316
"Candy Shack",10114,"Googlies 19.38oz","2020-04-01",10036.86,2454
"Candy Shack",10115,"Googlies 1.94oz","2020-04-01",282.61,479
"Candy Shack",10116,"Googlies 4.83oz","2020-04-01",269.61,209
"Candy Shack",10117,"Sailor Joe 16.92oz","2020-04-01",7042.16,904
"Candy Shack",10118,"Obelisk 8.81oz","2020-04-01",1432.31,319
"Candy Shack",10119,"Rumbuns 9.87oz","2020-04-01",5733.00,700
"Candy Shack",10120,"Gnaw 16.92oz","2020-04-01",291.75,75
"Candy Shack",10121,"Hoots 9.87oz","2020-04-01",1053.57,203
"Candy Shack",10122,"Minotaur 13.39oz","2020-04-01",2803.64,476
"Candy Shack",10123,"Huckles 5.29oz","2020-04-01",5450.20,2380
"Candy Shack",10124,"Minotaur 33.48oz","2020-04-01",9773.79,741
"Candy Shack",10125,"Petals 3.07oz","2020-04-01",1683.50,650
"Candy Shack",10126,"Petals 1.23oz","2020-04-01",1875.44,1576
"Candy Shack",10127,"Gumbles 1.76oz","2020-04-01",1251.88,1052
"Candy Shack",10128,"Schnoogles 8.81oz","2020-04-01",8193.08,812
"Candy Shack",10129,"Sweetsverse 2.82oz","2020-04-01",3583.99,1801
"Candy Shack",10130,"Whippersnappers 1.76oz","2020-04-01",812.49,511
"Candy Shack",10131,"Yumyums 22.91oz","2020-04-01",20721.47,1583
"Candy Shack",10132,"Paramels 33.48oz","2020-04-01",45516.06,1674
"Candy Shack",10133,"Paramels 13.39oz","2020-04-01",10965.63,907
"Candy Shack",10134,"Paramels 8.35oz","2020-04-01",13893.84,1656
"Candy Shack",10135,"Twisters 16.92oz","2020-04-01",11283.06,2174
"Candy Shack",10136,"Pippops 22.91oz","2020-04-01",10163.28,1272
"Candy Shack",10137,"Unicorn 16.92oz","2020-04-01",737.88,132
"Candy Shack",10138,"Caramax 6.59oz","2020-04-01",963.02,358
"Candy Shack",10139,"Bravo 1.76oz","2020-04-01",1066.05,1545
"Candy Shack",10140,"Dynasty 16.00oz","2020-04-01",26427.47,2383
"Candy Shack",10141,"Daydream 2.82oz","2020-04-01",2038.20,1580
"Candy Shack",10142,"Boho 2.82oz","2020-04-01",1138.83,357
"Candy Shack",10143,"Banananice 1.76oz","2020-04-01",1697.64,1316
"Candy Shack",10144,"Buzzers 3.00oz","2020-04-01",1184.05,995
"Candy Shack",10145,"Elysian Fudge 1.76oz","2020-04-01",5690.59,2381
"Candy Shack",10146,"Constellation 16.00oz","2020-04-01",5716.27,643
"Candy Shack",10147,"Chocolatey Nougat 8.81oz","2020-04-01",1842.60,740
"Candy Shack",10148,"Banonza 6.59oz","2020-04-01",723.72,148
"Candy Shack",10149,"Carousel 16.00oz","2020-04-01",14308.54,1726
