Retailer,SkuCode,Product,SalesMonth,SalesValue,UnitsSold
"Candy Shack",10090,"Zigzags 14.10oz","2020-06-01",1336.94,206
"Candy Shack",10091,"Caramax 10.57oz","2020-06-01",869.82,218
"Candy Shack",10092,"Bravo 7.05oz","2020-06-01",2933.49,1281
"Candy Shack",10093,"Creamies 10.57oz","2020-06-01",5146.79,781
"Candy Shack",10094,"Cerealice 14.10oz","2020-06-01",9720.36,804
"Candy Shack",10095,"Cerealice 3.52oz","2020-06-01",1125.45,305
"Candy Shack",10096,"Daydream 7.05oz","2020-06-01",1853.41,689
"Candy Shack",10097,"Boho 7.05oz","2020-06-01",6710.86,974
"Candy Shack",10099,"Boho 28.19oz","2020-06-01",55988.94,2446
"Candy Shack",10100,"Banananice 4.41oz","2020-06-01",2309.11,799
"Candy Shack",10102,"Cheeky Caramels 7.93oz","2020-06-01",3248.19,561
"Candy Shack",10103,"Elysian Fudge 4.41oz","2020-06-01",14371.89,2571
"Candy Shack",10104,"Elysian Fudge 7.05oz","2020-06-01",5803.55,745
"Candy Shack",10105,"Flair 17.62oz","2020-06-01",19476.27,1133
"Candy Shack",10106,"Flair 7.05oz","2020-06-01",14846.04,1956
"Candy Shack",10107,"Flair 28.19oz","2020-06-01",31076.10,1290
"Candy Shack",10108,"Chocolatey Nougat 14.10oz","2020-06-01",4011.03,1087
"Candy Shack",10109,"Chocolatey Nougat 3.52oz","2020-06-01",1297.10,1090
"Candy Shack",10111,"Salt Chocolate 26.43oz","2020-06-01",4703.72,628
"Candy Shack",10112,"Meltos 2.82oz","2020-06-01",6878.33,2557
"Candy Shack",10113,"Sweetlings 2.82oz","2020-06-01",3346.56,1344
"Candy Shack",10114,"Googlies 19.38oz","2020-06-01",11042.46,2574
"Candy Shack",10115,"Googlies 1.94oz","2020-06-01",349.83,507
"Candy Shack",10116,"Googlies 4.83oz","2020-06-01",1802.13,1397
"Candy Shack",10117,"Sailor Joe 16.92oz","2020-06-01",15918.30,2070
"Candy Shack",10118,"Obelisk 8.81oz","2020-06-01",11341.89,2471
"Candy Shack",10120,"Gnaw 16.92oz","2020-06-01",10130.61,2539
"Candy Shack",10122,"Minotaur 13.39oz","2020-06-01",3423.07,553
"Candy Shack",10123,"Huckles 5.29oz","2020-06-01",1015.75,425
"Candy Shack",10125,"Petals 3.07oz","2020-06-01",4763.99,1771
"Candy Shack",10126,"Petals 1.23oz","2020-06-01",787.78,662
"Candy Shack",10127,"Gumbles 1.76oz","2020-06-01",2832.20,2380
"Candy Shack",10128,"Schnoogles 8.81oz","2020-06-01",1533.21,149
"Candy Shack",10129,"Sweetsverse 2.82oz","2020-06-01",1289.52,648
"Candy Shack",10130,"Whippersnappers 1.76oz","2020-06-01",951.47,563
"Candy Shack",10132,"Paramels 33.48oz","2020-06-01",37331.87,1373
"Candy Shack",10133,"Paramels 13.39oz","2020-06-01",15487.50,1250
"Candy Shack",10134,"Paramels 8.35oz","2020-06-01",15487.77,1803
"Candy Shack",10135,"Twisters 16.92oz","2020-06-01",10485.40,2060
"Candy Shack",10136,"Pippops 22.91oz","2020-06-01",954.62,118
"Candy Shack",10137,"Unicorn 16.92oz","2020-06-01",1468.02,258
"Candy Shack",10138,"Caramax 6.59oz","2020-06-01",1640.90,610
"Candy Shack",10139,"Bravo 1.76oz","2020-06-01",373.29,541
"Candy Shack",10140,"Dynasty 16.00oz","2020-06-01",19750.26,1734
"Candy Shack",10141,"Daydream 2.82oz","2020-06-01",2109.15,1635
"Candy Shack",10142,"Boho 2.82oz","2020-06-01",4191.66,1314
"Candy Shack",10143,"Banananice 1.76oz","2020-06-01",1647.15,1185
"Candy Shack",10144,"Buzzers 3.00oz","2020-06-01",2200.31,1849
"Candy Shack",10145,"Elysian Fudge 1.76oz","2020-06-01",2265.90,910
"Candy Shack",10146,"Constellation 16.00oz","2020-06-01",6112.82,658
"Candy Shack",10147,"Chocolatey Nougat 8.81oz","2020-06-01",5472.67,2113
"Candy Shack",10148,"Banonza 6.59oz","2020-06-01",9718.91,2029
"Candy Shack",10149,"Carousel 16.00oz","2020-06-01",14291.55,1745
