Retailer,SkuCode,Product,SalesMonth,SalesValue,UnitsSold
"Candy Shack",10056,"Buzzers 11.98oz","2020-08-01",4817.19,1421
"Candy Shack",10057,"Cheeky Caramels 3.17oz","2020-08-01",4330.11,1739
"Candy Shack",10058,"Banonza 2.64oz","2020-08-01",3335.64,1596
"Candy Shack",10059,"Sportsman 7.05oz","2020-08-01",5959.59,2301
"Candy Shack",10060,"Salt Chocolate 10.57oz","2020-08-01",3402.09,1101
"Candy Shack",10061,"Meltos 7.05oz","2020-08-01",1255.87,233
"Candy Shack",10062,"Meltos 28.19oz","2020-08-01",14520.05,745
"Candy Shack",10063,"Zoots 7.93oz","2020-08-01",2717.91,909
"Candy Shack",10064,"Sweetlings 7.05oz","2020-08-01",1514.59,281
"Candy Shack",10065,"Sweetlings 11.28oz","2020-08-01",1294.38,162
"Candy Shack",10066,"Googlies 7.75oz","2020-08-01",3642.65,2035
"Candy Shack",10067,"Xero 10.57oz","2020-08-01",5813.09,2161
"Candy Shack",10068,"Xero 4.23oz","2020-08-01",2892.18,2242
"Candy Shack",10069,"The Original 10.57oz","2020-08-01",8390.25,2475
"Candy Shack",10071,"Sailor Joe 10.57oz","2020-08-01",598.80,120
"Candy Shack",10072,"Sailor Joe 4.23oz","2020-08-01",4474.66,1954
"Candy Shack",10073,"Sailor Joe 42.29oz","2020-08-01",29643.89,1831
"Candy Shack",10074,"Obelisk 35.24oz","2020-08-01",35123.13,2547
"Candy Shack",10075,"Obelisk 22.03oz","2020-08-01",765.51,79
"Candy Shack",10076,"Gnaw 10.57oz","2020-08-01",4358.97,1683
"Candy Shack",10077,"Gnaw 4.23oz","2020-08-01",2088.45,1755
"Candy Shack",10078,"Rokkolate 4.23oz","2020-08-01",453.15,285
"Candy Shack",10079,"Rokkolate 10.57oz","2020-08-01",7427.49,2191
"Candy Shack",10080,"Gumbles 4.41oz","2020-08-01",4531.44,1896
"Candy Shack",10081,"Whippersnappers 4.41oz","2020-08-01",4688.37,1383
"Candy Shack",10082,"Schnoogles 3.52oz","2020-08-01",2080.65,485
"Candy Shack",10083,"Sweetsverse 7.05oz","2020-08-01",5398.80,1320
"Candy Shack",10084,"Schnoogles 14.10oz","2020-08-01",33613.80,2420
"Candy Shack",10085,"Sweetsverse 28.19oz","2020-08-01",18564.73,1327
"Candy Shack",10086,"Twisters 10.57oz","2020-08-01",6471.51,1909
"Candy Shack",10087,"Twisters 4.23oz","2020-08-01",1722.44,1156
"Candy Shack",10088,"Unicorn 4.23oz","2020-08-01",3598.01,2129
"Candy Shack",10089,"Zigzags 3.52oz","2020-08-01",2364.12,1188
"Candy Shack",10090,"Zigzags 14.10oz","2020-08-01",9506.49,1561
"Candy Shack",10091,"Caramax 10.57oz","2020-08-01",8002.11,2229
"Candy Shack",10092,"Bravo 7.05oz","2020-08-01",5072.04,2316
"Candy Shack",10093,"Creamies 10.57oz","2020-08-01",11389.60,1840
"Candy Shack",10094,"Cerealice 14.10oz","2020-08-01",2761.41,249
"Candy Shack",10095,"Cerealice 3.52oz","2020-08-01",1437.88,412
"Candy Shack",10096,"Daydream 7.05oz","2020-08-01",1103.07,443
"Candy Shack",10097,"Boho 7.05oz","2020-08-01",13489.73,2047
"Candy Shack",10098,"Boho 11.28oz","2020-08-01",16926.91,1729
"Candy Shack",10099,"Boho 28.19oz","2020-08-01",48821.76,2304
"Candy Shack",10100,"Banananice 4.41oz","2020-08-01",2.59,1
"Candy Shack",10101,"Cheeky Caramels 31.72oz","2020-08-01",4222.57,253
"Candy Shack",10102,"Cheeky Caramels 7.93oz","2020-08-01",3750.61,709
"Candy Shack",10103,"Elysian Fudge 4.41oz","2020-08-01",931.04,176
"Candy Shack",10104,"Elysian Fudge 7.05oz","2020-08-01",628.15,85
"Candy Shack",10105,"Flair 17.62oz","2020-08-01",20384.84,1316
"Candy Shack",10106,"Flair 7.05oz","2020-08-01",4047.21,579
"Candy Shack",10107,"Flair 28.19oz","2020-08-01",13374.00,600
"Candy Shack",10108,"Chocolatey Nougat 14.10oz","2020-08-01",5667.76,1624
"Candy Shack",10109,"Chocolatey Nougat 3.52oz","2020-08-01",1602.30,1470
"Candy Shack",10110,"Sportsman 2.82oz","2020-08-01",347.48,292
"Candy Shack",10111,"Salt Chocolate 26.43oz","2020-08-01",1812.07,263
"Candy Shack",10112,"Meltos 2.82oz","2020-08-01",2529.84,1016
"Candy Shack",10113,"Sweetlings 2.82oz","2020-08-01",2590.76,1084
"Candy Shack",10114,"Googlies 19.38oz","2020-08-01",9934.61,2429
"Candy Shack",10115,"Googlies 1.94oz","2020-08-01",976.45,1655
"Candy Shack",10116,"Googlies 4.83oz","2020-08-01",1464.89,1231
"Candy Shack",10117,"Sailor Joe 16.92oz","2020-08-01",9361.38,1302
"Candy Shack",10118,"Obelisk 8.81oz","2020-08-01",4375.80,1020
"Candy Shack",10120,"Gnaw 16.92oz","2020-08-01",6280.38,1702
"Candy Shack",10121,"Hoots 9.87oz","2020-08-01",8873.48,1892
"Candy Shack",10122,"Minotaur 13.39oz","2020-08-01",1644.41,289
"Candy Shack",10123,"Huckles 5.29oz","2020-08-01",2257.89,1031
"Candy Shack",10124,"Minotaur 33.48oz","2020-08-01",9569.15,785
"Candy Shack",10125,"Petals 3.07oz","2020-08-01",1959.63,787
"Candy Shack",10126,"Petals 1.23oz","2020-08-01",2026.57,1703
"Candy Shack",10127,"Gumbles 1.76oz","2020-08-01",2197.44,2016
"Candy Shack",10128,"Schnoogles 8.81oz","2020-08-01",24240.04,2476
"Candy Shack",10129,"Sweetsverse 2.82oz","2020-08-01",4464.18,2362
"Candy Shack",10130,"Whippersnappers 1.76oz","2020-08-01",2241.90,1410
"Candy Shack",10131,"Yumyums 22.91oz","2020-08-01",10791.36,864
"Candy Shack",10132,"Paramels 33.48oz","2020-08-01",21429.16,844
"Candy Shack",10133,"Paramels 13.39oz","2020-08-01",9137.25,775
"Candy Shack",10134,"Paramels 8.35oz","2020-08-01",7228.88,872
"Candy Shack",10135,"Twisters 16.92oz","2020-08-01",9256.77,1893
"Candy Shack",10137,"Unicorn 16.92oz","2020-08-01",12945.42,2358
"Candy Shack",10138,"Caramax 6.59oz","2020-08-01",779.37,313
"Candy Shack",10139,"Bravo 1.76oz","2020-08-01",702.42,1018
"Candy Shack",10140,"Dynasty 16.00oz","2020-08-01",20927.55,1995
"Candy Shack",10141,"Daydream 2.82oz","2020-08-01",505.75,425
"Candy Shack",10142,"Boho 2.82oz","2020-08-01",2771.73,927
"Candy Shack",10143,"Banananice 1.76oz","2020-08-01",715.95,555
"Candy Shack",10144,"Buzzers 3.00oz","2020-08-01",110.09,101
"Candy Shack",10145,"Elysian Fudge 1.76oz","2020-08-01",3228.90,1410
"Candy Shack",10146,"Constellation 16.00oz","2020-08-01",13879.41,1579
"Candy Shack",10147,"Chocolatey Nougat 8.81oz","2020-08-01",1989.51,799
"Candy Shack",10148,"Banonza 6.59oz","2020-08-01",4036.51,899
"Candy Shack",10149,"Carousel 16.00oz","2020-08-01",6767.20,880
