Retailer,SkuCode,Product,SalesMonth,SalesValue,UnitsSold
"Candy Shack",10052,"Dr Sweets 9.52oz","2020-07-01",2701.41,1699
"Candy Shack",10053,"Creamies 2.64oz","2020-07-01",3978.26,2354
"Candy Shack",10054,"Cerealice 1.41oz","2020-07-01",2337.30,1470
"Candy Shack",10055,"Fairy Sweets 1.59oz","2020-07-01",576.43,977
"Candy Shack",10056,"Buzzers 11.98oz","2020-07-01",7392.63,2247
"Candy Shack",10057,"Cheeky Caramels 3.17oz","2020-07-01",5707.32,2388
"Candy Shack",10058,"Banonza 2.64oz","2020-07-01",3408.87,1713
"Candy Shack",10059,"Sportsman 7.05oz","2020-07-01",4603.14,1926
"Candy Shack",10060,"Salt Chocolate 10.57oz","2020-07-01",2095.99,701
"Candy Shack",10061,"Meltos 7.05oz","2020-07-01",10307.25,2025
"Candy Shack",10062,"Meltos 28.19oz","2020-07-01",48351.03,2587
"Candy Shack",10063,"Zoots 7.93oz","2020-07-01",2994.04,1036
"Candy Shack",10064,"Sweetlings 7.05oz","2020-07-01",9767.71,1919
"Candy Shack",10066,"Googlies 7.75oz","2020-07-01",2453.88,1452
"Candy Shack",10067,"Xero 10.57oz","2020-07-01",5050.50,1950
"Candy Shack",10068,"Xero 4.23oz","2020-07-01",1608.88,1352
"Candy Shack",10069,"The Original 10.57oz","2020-07-01",3786.53,1187
"Candy Shack",10070,"The Original 4.23oz","2020-07-01",985.51,709
"Candy Shack",10071,"Sailor Joe 10.57oz","2020-07-01",3664.35,765
"Candy Shack",10072,"Sailor Joe 4.23oz","2020-07-01",105.12,48
"Candy Shack",10073,"Sailor Joe 42.29oz","2020-07-01",16667.24,1076
"Candy Shack",10074,"Obelisk 35.24oz","2020-07-01",23372.68,1772
"Candy Shack",10075,"Obelisk 22.03oz","2020-07-01",17615.64,1876
"Candy Shack",10076,"Gnaw 10.57oz","2020-07-01",2193.69,881
"Candy Shack",10077,"Gnaw 4.23oz","2020-07-01",2468.06,2074
"Candy Shack",10079,"Rokkolate 10.57oz","2020-07-01",1668.03,507
"Candy Shack",10080,"Gumbles 4.41oz","2020-07-01",348.08,152
"Candy Shack",10082,"Schnoogles 3.52oz","2020-07-01",4977.72,1188
"Candy Shack",10083,"Sweetsverse 7.05oz","2020-07-01",9739.59,2441
"Candy Shack",10084,"Schnoogles 14.10oz","2020-07-01",3020.51,229
"Candy Shack",10085,"Sweetsverse 28.19oz","2020-07-01",32733.27,2463
"Candy Shack",10086,"Twisters 10.57oz","2020-07-01",6878.31,2029
"Candy Shack",10087,"Twisters 4.23oz","2020-07-01",1878.89,1261
"Candy Shack",10088,"Unicorn 4.23oz","2020-07-01",1044.63,657
"Candy Shack",10089,"Zigzags 3.52oz","2020-07-01",3328.29,1761
"Candy Shack",10090,"Zigzags 14.10oz","2020-07-01",6004.23,1037
"Candy Shack",10091,"Caramax 10.57oz","2020-07-01",7388.33,2117
"Candy Shack",10092,"Bravo 7.05oz","2020-07-01",4184.18,2002
"Candy Shack",10093,"Creamies 10.57oz","2020-07-01",217.93,37
"Candy Shack",10095,"Cerealice 3.52oz","2020-07-01",4576.50,1350
"Candy Shack",10096,"Daydream 7.05oz","2020-07-01",1030.86,414
"Candy Shack",10097,"Boho 7.05oz","2020-07-01",9189.69,1461
"Candy Shack",10098,"Boho 11.28oz","2020-07-01",2647.98,282
"Candy Shack",10099,"Boho 28.19oz","2020-07-01",18269.44,896
"Candy Shack",10100,"Banananice 4.41oz","2020-07-01",5073.81,1959
"Candy Shack",10101,"Cheeky Caramels 31.72oz","2020-07-01",225.26,14
"Candy Shack",10102,"Cheeky Caramels 7.93oz","2020-07-01",1058.72,208
"Candy Shack",10103,"Elysian Fudge 4.41oz","2020-07-01",6422.13,1287
"Candy Shack",10104,"Elysian Fudge 7.05oz","2020-07-01",12456.18,1782
"Candy Shack",10105,"Flair 17.62oz","2020-07-01",24702.33,1637
"Candy Shack",10106,"Flair 7.05oz","2020-07-01",5492.49,821
"Candy Shack",10107,"Flair 28.19oz","2020-07-01",18978.63,867
"Candy Shack",10108,"Chocolatey Nougat 14.10oz","2020-07-01",164.50,50
"Candy Shack",10109,"Chocolatey Nougat 3.52oz","2020-07-01",56.68,52
"Candy Shack",10110,"Sportsman 2.82oz","2020-07-01",2546.60,2140
"Candy Shack",10111,"Salt Chocolate 26.43oz","2020-07-01",13466.97,2013
"Candy Shack",10113,"Sweetlings 2.82oz","2020-07-01",5514.32,2408
"Candy Shack",10114,"Googlies 19.38oz","2020-07-01",836.35,215
"Candy Shack",10115,"Googlies 1.94oz","2020-07-01",1003.00,1700
"Candy Shack",10116,"Googlies 4.83oz","2020-07-01",1185.24,996
"Candy Shack",10117,"Sailor Joe 16.92oz","2020-07-01",14775.04,2176
"Candy Shack",10118,"Obelisk 8.81oz","2020-07-01",1797.51,429
"Candy Shack",10119,"Rumbuns 9.87oz","2020-07-01",12014.97,1583
"Candy Shack",10120,"Gnaw 16.92oz","2020-07-01",8114.25,2325
"Candy Shack",10121,"Hoots 9.87oz","2020-07-01",11516.31,2509
"Candy Shack",10122,"Minotaur 13.39oz","2020-07-01",8898.89,1651
"Candy Shack",10123,"Huckles 5.29oz","2020-07-01",1772.32,848
"Candy Shack",10124,"Minotaur 33.48oz","2020-07-01",12803.94,1086
"Candy Shack",10125,"Petals 3.07oz","2020-07-01",4337.85,1815
"Candy Shack",10127,"Gumbles 1.76oz","2020-07-01",2309.71,2119
"Candy Shack",10128,"Schnoogles 8.81oz","2020-07-01",1365.63,147
"Candy Shack",10129,"Sweetsverse 2.82oz","2020-07-01",2278.67,1273
"Candy Shack",10130,"Whippersnappers 1.76oz","2020-07-01",682.42,458
"Candy Shack",10131,"Yumyums 22.91oz","2020-07-01",31389.25,2575
"Candy Shack",10132,"Paramels 33.48oz","2020-07-01",2457.18,102
"Candy Shack",10133,"Paramels 13.39oz","2020-07-01",16348.59,1461
"Candy Shack",10134,"Paramels 8.35oz","2020-07-01",864.69,111
"Candy Shack",10135,"Twisters 16.92oz","2020-07-01",9675.47,2063
"Candy Shack",10136,"Pippops 22.91oz","2020-07-01",8988.57,1233
"Candy Shack",10137,"Unicorn 16.92oz","2020-07-01",3259.32,628
"Candy Shack",10138,"Caramax 6.59oz","2020-07-01",2980.33,1247
"Candy Shack",10139,"Bravo 1.76oz","2020-07-01",1506.27,2553
"Candy Shack",10140,"Dynasty 16.00oz","2020-07-01",20736.65,2035
"Candy Shack",10141,"Daydream 2.82oz","2020-07-01",2321.69,1951
"Candy Shack",10142,"Boho 2.82oz","2020-07-01",554.88,192
"Candy Shack",10143,"Banananice 1.76oz","2020-07-01",2870.28,2412
"Candy Shack",10144,"Buzzers 3.00oz","2020-07-01",1527.09,1401
"Candy Shack",10145,"Elysian Fudge 1.76oz","2020-07-01",2173.21,949
"Candy Shack",10146,"Constellation 16.00oz","2020-07-01",18776.82,2238
"Candy Shack",10147,"Chocolatey Nougat 8.81oz","2020-07-01",5111.28,2232
"Candy Shack",10148,"Banonza 6.59oz","2020-07-01",10210.20,2380
"Candy Shack",10149,"Carousel 16.00oz","2020-07-01",17908.59,2391
