Retailer,SkuCode,Product,SalesMonth,SalesValue,UnitsSold
"Candy Shack",10064,"Sweetlings 7.05oz","2020-09-01",3403.80,620
"Candy Shack",10065,"Sweetlings 11.28oz","2020-09-01",20094.96,2424
"Candy Shack",10066,"Googlies 7.75oz","2020-09-01",2475.57,1383
"Candy Shack",10067,"Xero 10.57oz","2020-09-01",5888.41,2189
"Candy Shack",10068,"Xero 4.23oz","2020-09-01",423.12,328
"Candy Shack",10069,"The Original 10.57oz","2020-09-01",404.84,116
"Candy Shack",10070,"The Original 4.23oz","2020-09-01",379.95,255
"Candy Shack",10071,"Sailor Joe 10.57oz","2020-09-01",5441.21,1069
"Candy Shack",10072,"Sailor Joe 4.23oz","2020-09-01",695.49,291
"Candy Shack",10073,"Sailor Joe 42.29oz","2020-09-01",19979.41,1219
"Candy Shack",10074,"Obelisk 35.24oz","2020-09-01",2819.67,203
"Candy Shack",10075,"Obelisk 22.03oz","2020-09-01",7182.81,719
"Candy Shack",10076,"Gnaw 10.57oz","2020-09-01",5055.68,1952
"Candy Shack",10077,"Gnaw 4.23oz","2020-09-01",2619.99,2031
"Candy Shack",10078,"Rokkolate 4.23oz","2020-09-01",1702.89,1071
"Candy Shack",10079,"Rokkolate 10.57oz","2020-09-01",2599.16,724
"Candy Shack",10080,"Gumbles 4.41oz","2020-09-01",3616.07,1513
"Candy Shack",10081,"Whippersnappers 4.41oz","2020-09-01",3729.00,1100
"Candy Shack",10082,"Schnoogles 3.52oz","2020-09-01",8854.28,1972
"Candy Shack",10083,"Sweetsverse 7.05oz","2020-09-01",812.86,194
"Candy Shack",10084,"Schnoogles 14.10oz","2020-09-01",15442.64,1096
"Candy Shack",10085,"Sweetsverse 28.19oz","2020-09-01",35439.11,2429
"Candy Shack",10086,"Twisters 10.57oz","2020-09-01",7374.37,2113
"Candy Shack",10087,"Twisters 4.23oz","2020-09-01",221.01,139
"Candy Shack",10088,"Unicorn 4.23oz","2020-09-01",1485.51,879
"Candy Shack",10089,"Zigzags 3.52oz","2020-09-01",3926.27,1973
"Candy Shack",10090,"Zigzags 14.10oz","2020-09-01",2773.26,434
"Candy Shack",10091,"Caramax 10.57oz","2020-09-01",1800.72,488
"Candy Shack",10092,"Bravo 7.05oz","2020-09-01",968.67,423
"Candy Shack",10093,"Creamies 10.57oz","2020-09-01",8598.43,1367
"Candy Shack",10094,"Cerealice 14.10oz","2020-09-01",3556.35,315
"Candy Shack",10095,"Cerealice 3.52oz","2020-09-01",4117.73,1147
"Candy Shack",10096,"Daydream 7.05oz","2020-09-01",934.99,361
"Candy Shack",10097,"Boho 7.05oz","2020-09-01",2797.48,412
"Candy Shack",10098,"Boho 11.28oz","2020-09-01",5690.76,564
"Candy Shack",10099,"Boho 28.19oz","2020-09-01",16246.44,756
"Candy Shack",10100,"Banananice 4.41oz","2020-09-01",1277.82,458
"Candy Shack",10101,"Cheeky Caramels 31.72oz","2020-09-01",25115.43,1487
"Candy Shack",10102,"Cheeky Caramels 7.93oz","2020-09-01",10876.24,2056
"Candy Shack",10103,"Elysian Fudge 4.41oz","2020-09-01",1951.18,362
"Candy Shack",10104,"Elysian Fudge 7.05oz","2020-09-01",4097.03,547
"Candy Shack",10105,"Flair 17.62oz","2020-09-01",40778.31,2599
"Candy Shack",10106,"Flair 7.05oz","2020-09-01",11344.00,1600
"Candy Shack",10107,"Flair 28.19oz","2020-09-01",46008.90,2010
"Candy Shack",10108,"Chocolatey Nougat 14.10oz","2020-09-01",1745.00,500
"Candy Shack",10109,"Chocolatey Nougat 3.52oz","2020-09-01",1794.52,1508
"Candy Shack",10110,"Sportsman 2.82oz","2020-09-01",2767.05,2145
"Candy Shack",10111,"Salt Chocolate 26.43oz","2020-09-01",16643.19,2381
"Candy Shack",10112,"Meltos 2.82oz","2020-09-01",2318.19,931
"Candy Shack",10113,"Sweetlings 2.82oz","2020-09-01",3349.05,1345
"Candy Shack",10114,"Googlies 19.38oz","2020-09-01",2233.27,533
"Candy Shack",10115,"Googlies 1.94oz","2020-09-01",1179.21,1709
"Candy Shack",10116,"Googlies 4.83oz","2020-09-01",1180.48,992
"Candy Shack",10117,"Sailor Joe 16.92oz","2020-09-01",3220.70,430
"Candy Shack",10118,"Obelisk 8.81oz","2020-09-01",1220.42,278
"Candy Shack",10119,"Rumbuns 9.87oz","2020-09-01",12031.11,1469
"Candy Shack",10120,"Gnaw 16.92oz","2020-09-01",3862.77,993
"Candy Shack",10121,"Hoots 9.87oz","2020-09-01",6078.27,1243
"Candy Shack",10122,"Minotaur 13.39oz","2020-09-01",10283.94,1746
"Candy Shack",10123,"Huckles 5.29oz","2020-09-01",2617.05,1195
"Candy Shack",10124,"Minotaur 33.48oz","2020-09-01",25811.46,2034
"Candy Shack",10125,"Petals 3.07oz","2020-09-01",5206.59,2091
"Candy Shack",10126,"Petals 1.23oz","2020-09-01",2669.17,2243
"Candy Shack",10127,"Gumbles 1.76oz","2020-09-01",2620.38,2202
"Candy Shack",10128,"Schnoogles 8.81oz","2020-09-01",13369.25,1325
"Candy Shack",10129,"Sweetsverse 2.82oz","2020-09-01",2497.45,1255
"Candy Shack",10130,"Whippersnappers 1.76oz","2020-09-01",2364.33,1487
"Candy Shack",10131,"Yumyums 22.91oz","2020-09-01",5791.40,460
"Candy Shack",10132,"Paramels 33.48oz","2020-09-01",29337.98,1142
"Candy Shack",10133,"Paramels 13.39oz","2020-09-01",6222.81,519
"Candy Shack",10134,"Paramels 8.35oz","2020-09-01",7005.05,845
"Candy Shack",10135,"Twisters 16.92oz","2020-09-01",2085.82,418
"Candy Shack",10136,"Pippops 22.91oz","2020-09-01",3653.07,463
"Candy Shack",10137,"Unicorn 16.92oz","2020-09-01",3901.82,698
"Candy Shack",10138,"Caramax 6.59oz","2020-09-01",1733.04,696
"Candy Shack",10139,"Bravo 1.76oz","2020-09-01",327.75,475
"Candy Shack",10140,"Dynasty 16.00oz","2020-09-01",20490.21,1899
"Candy Shack",10142,"Boho 2.82oz","2020-09-01",2433.86,814
"Candy Shack",10143,"Banananice 1.76oz","2020-09-01",452.79,351
"Candy Shack",10144,"Buzzers 3.00oz","2020-09-01",1917.31,1759
"Candy Shack",10146,"Constellation 16.00oz","2020-09-01",9432.29,1061
"Candy Shack",10147,"Chocolatey Nougat 8.81oz","2020-09-01",4688.67,1883
"Candy Shack",10149,"Carousel 16.00oz","2020-09-01",7406.73,927
